epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.453,0.79994,1.03623,1.23106,0.81716,0.7233,0.80215,0.68514,0.48958,0.71672,0.87196,0.000332875,0.000332875,0.0670453
2,447.481,0.75978,0.96842,1.20711,0.82888,0.75874,0.83279,0.72299,0.45588,0.90647,0.84811,0.000666199,0.000666199,0.0340453
3,668.389,0.74077,0.92865,1.20217,0.82116,0.75768,0.81763,0.7082,0.48253,4.37496,0.8547,0.000999481,0.000999481,0.00104527
4,888.184,0.7324,0.9241,1.19305,0.81191,0.76989,0.82317,0.72771,0.41535,0.67488,0.82637,0.000999863,0.000999863,0.000999863
5,1108.09,0.7393,0.92386,1.19337,0.82509,0.74168,0.81653,0.70927,0.4598,0.9457,0.83173,0.000999756,0.000999756,0.000999756
6,1327.83,0.74067,0.92473,1.19309,0.79528,0.74716,0.80893,0.70488,0.44719,1.19929,0.83524,0.000999618,0.000999618,0.000999618
7,1549.82,0.74767,0.9288,1.20241,0.84102,0.74271,0.82288,0.72233,0.43185,0.86378,0.83324,0.00099945,0.00099945,0.00099945
8,1769.52,0.74048,0.91956,1.19822,0.81664,0.7704,0.82368,0.71814,0.44602,0.64192,0.82527,0.000999252,0.000999252,0.000999252
9,1989.1,0.73986,0.9243,1.20081,0.81589,0.76392,0.83277,0.73366,0.42769,0.69435,0.83325,0.000999023,0.000999023,0.000999023
10,2211.08,0.73681,0.92588,1.19843,0.83676,0.74033,0.8279,0.72502,0.43596,0.98488,0.83826,0.000998764,0.000998764,0.000998764
11,2430.76,0.74431,0.92836,1.20507,0.80973,0.75578,0.81118,0.71284,0.42346,0.72042,0.83958,0.000998474,0.000998474,0.000998474
12,2652.12,0.75,0.93349,1.20233,0.78662,0.7607,0.81602,0.71343,0.4288,0.93622,0.83463,0.000998154,0.000998154,0.000998154
13,2872.22,0.74043,0.92311,1.20021,0.7944,0.78503,0.82518,0.72021,0.44621,0.69327,0.82888,0.000997803,0.000997803,0.000997803
14,3091.65,0.74003,0.92679,1.19691,0.83669,0.76554,0.8308,0.71886,0.46467,0.86278,0.83589,0.000997422,0.000997422,0.000997422
15,3311.25,0.75192,0.93251,1.20544,0.84877,0.72724,0.8169,0.71452,0.4372,0.65014,0.83586,0.000997011,0.000997011,0.000997011
16,3530.88,0.73367,0.91699,1.19306,0.86084,0.7508,0.83382,0.73554,0.41538,0.65974,0.81355,0.000996569,0.000996569,0.000996569
17,3752.03,0.74374,0.91334,1.19728,0.82965,0.75216,0.82102,0.72253,0.43061,0.69754,0.83072,0.000996097,0.000996097,0.000996097
18,3971.7,0.73687,0.8975,1.19417,0.84972,0.73893,0.83277,0.73327,0.42432,0.81408,0.83058,0.000995594,0.000995594,0.000995594
19,4191.21,0.73242,0.91748,1.19781,0.79539,0.76008,0.81752,0.71876,0.43653,0.67329,0.83338,0.000995062,0.000995062,0.000995062
20,4411.63,0.73536,0.91886,1.19761,0.82065,0.75344,0.82275,0.7199,0.44103,0.71972,0.83905,0.000994499,0.000994499,0.000994499
21,4632.06,0.74265,0.91296,1.20199,0.83928,0.75063,0.83365,0.73499,0.43819,0.68548,0.82617,0.000993906,0.000993906,0.000993906
22,4852.22,0.73872,0.90658,1.20018,0.8436,0.7652,0.8391,0.73658,0.4406,0.75119,0.83784,0.000993282,0.000993282,0.000993282
23,5072.91,0.73533,0.90787,1.19737,0.81561,0.75949,0.82641,0.72615,0.42878,0.74584,0.82655,0.000992629,0.000992629,0.000992629
24,5292.53,0.73079,0.89504,1.19421,0.80373,0.7697,0.82288,0.72204,0.43427,0.72314,0.82758,0.000991946,0.000991946,0.000991946
25,5511.9,0.73405,0.90068,1.19165,0.82575,0.78343,0.83896,0.74074,0.42314,0.72212,0.82237,0.000991232,0.000991232,0.000991232
26,5732.73,0.73294,0.89761,1.19484,0.87,0.75429,0.84144,0.7435,0.42291,0.73297,0.82899,0.000990489,0.000990489,0.000990489
27,5952.62,0.73105,0.89131,1.1829,0.83335,0.77741,0.83428,0.73116,0.43026,0.69994,0.81365,0.000989715,0.000989715,0.000989715
28,6172.6,0.72351,0.87081,1.17767,0.82656,0.78026,0.84403,0.74456,0.41766,0.76463,0.81998,0.000988912,0.000988912,0.000988912
29,6393.57,0.72079,0.87477,1.18447,0.81232,0.79711,0.84106,0.73691,0.42888,0.72831,0.83196,0.000988079,0.000988079,0.000988079
30,6613.44,0.72271,0.87643,1.18563,0.84662,0.76772,0.83808,0.73458,0.43118,0.66533,0.82853,0.000987216,0.000987216,0.000987216
31,6833.01,0.72496,0.87986,1.18298,0.85077,0.76872,0.84161,0.74239,0.42448,0.62444,0.82437,0.000986323,0.000986323,0.000986323
32,7053.75,0.72448,0.87345,1.18744,0.85997,0.77974,0.85138,0.7523,0.42418,0.74634,0.82246,0.000985401,0.000985401,0.000985401
33,7274.31,0.72894,0.88926,1.18809,0.86432,0.7712,0.83993,0.74155,0.41977,0.71873,0.81498,0.000984449,0.000984449,0.000984449
34,7493.85,0.72491,0.87164,1.18359,0.8442,0.79149,0.84882,0.75234,0.41114,0.72818,0.82045,0.000983467,0.000983467,0.000983467
