epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.606,1.47905,3.08001,1.6426,0.33875,0.22601,0.11893,0.0615,1.43479,2.9426,1.4888,0.000332875,0.000332875,0.0670453
2,302.921,1.51934,2.91993,1.68977,0.39239,0.26225,0.16441,0.08581,1.37778,4.53016,1.39256,0.000666199,0.000666199,0.0340453
3,452.409,1.47175,2.77986,1.64683,0.49864,0.29873,0.22649,0.12108,1.33733,16.3879,1.34735,0.000999481,0.000999481,0.00104527
4,601.101,1.41711,2.63201,1.6089,0.29879,0.39345,0.27193,0.16658,1.11962,6.1255,1.16954,0.000999863,0.000999863,0.000999863
5,749.414,1.35011,2.51892,1.5625,0.26297,0.39626,0.27976,0.17666,1.091,5.107,1.16586,0.000999756,0.000999756,0.000999756
6,898.303,1.32086,2.39591,1.52949,0.27914,0.43873,0.34314,0.23164,0.97749,2.17119,1.08862,0.000999618,0.000999618,0.000999618
7,1046.74,1.29938,2.32103,1.51031,0.54069,0.39719,0.39885,0.24896,1.08621,1.99473,1.12066,0.00099945,0.00099945,0.00099945
8,1195.57,1.26497,2.26355,1.486,0.54964,0.4231,0.42107,0.301,0.87669,3.38851,1.02427,0.000999252,0.000999252,0.000999252
9,1344.73,1.24914,2.21795,1.47967,0.55912,0.43916,0.4286,0.30787,0.81373,7.47113,0.99768,0.000999023,0.000999023,0.000999023
10,1495.04,1.22494,2.15885,1.46674,0.43841,0.48204,0.42759,0.31313,0.82382,4.35822,1.00754,0.000998764,0.000998764,0.000998764
11,1644.11,1.21547,2.12797,1.45553,0.41254,0.52329,0.46797,0.34879,0.76578,2.35303,0.98477,0.000998474,0.000998474,0.000998474
12,1793.39,1.21368,2.0723,1.45493,0.5516,0.44753,0.4602,0.35376,0.70662,2.28288,0.95694,0.000998154,0.000998154,0.000998154
13,1943.08,1.19339,2.044,1.4379,0.47066,0.47805,0.48299,0.34669,0.88074,7.48736,1.0126,0.000997803,0.000997803,0.000997803
14,2091.07,1.18561,2.00636,1.43016,0.59474,0.51147,0.53559,0.41235,0.7122,1.91534,0.95033,0.000997422,0.000997422,0.000997422
15,2239.18,1.18053,1.97968,1.42774,0.55196,0.52722,0.56012,0.40414,0.86251,1.53569,1.00056,0.000997011,0.000997011,0.000997011
16,2387.26,1.16064,1.9345,1.41441,0.52475,0.50679,0.54146,0.41486,0.74643,1.39212,0.94454,0.000996569,0.000996569,0.000996569
17,2536.37,1.15864,1.91364,1.40918,0.56218,0.53705,0.57527,0.4358,0.74919,3.15189,0.95001,0.000996097,0.000996097,0.000996097
18,2685.27,1.14428,1.85708,1.39608,0.57558,0.59062,0.61147,0.47921,0.66478,1.71305,0.92007,0.000995594,0.000995594,0.000995594
19,2833.92,1.13468,1.85782,1.39898,0.57548,0.60181,0.61837,0.48764,0.66233,1.6506,0.91804,0.000995062,0.000995062,0.000995062
20,2982.94,1.13002,1.83616,1.38946,0.5897,0.57027,0.62454,0.49907,0.62293,2.06263,0.89279,0.000994499,0.000994499,0.000994499
21,3131.76,1.11568,1.79044,1.38091,0.57213,0.62417,0.63831,0.49521,0.70184,1.91006,0.91338,0.000993906,0.000993906,0.000993906
22,3280.27,1.10826,1.78282,1.37408,0.62026,0.58687,0.64286,0.51928,0.59736,2.24468,0.89102,0.000993282,0.000993282,0.000993282
23,3428.76,1.08699,1.7461,1.36016,0.62708,0.60642,0.65598,0.52658,0.62096,1.23796,0.88366,0.000992629,0.000992629,0.000992629
24,3576.76,1.07148,1.71458,1.35492,0.64647,0.63709,0.67972,0.54614,0.60576,1.14223,0.87951,0.000991946,0.000991946,0.000991946
25,3724.9,1.06258,1.69834,1.34673,0.63385,0.66064,0.68654,0.55109,0.61294,1.44556,0.88264,0.000991232,0.000991232,0.000991232
26,3873.49,1.04903,1.66717,1.3351,0.69194,0.62284,0.68549,0.55841,0.58961,1.40821,0.88482,0.000990489,0.000990489,0.000990489
27,4021.46,1.03649,1.64501,1.33111,0.77571,0.59922,0.70837,0.56933,0.6217,1.28434,0.88095,0.000989715,0.000989715,0.000989715
28,4170.23,1.0339,1.63243,1.33205,0.66743,0.65871,0.69332,0.56059,0.60974,1.33983,0.87641,0.000988912,0.000988912,0.000988912
29,4318.54,1.02068,1.61351,1.31939,0.70797,0.66375,0.71381,0.58188,0.58356,1.15434,0.86777,0.000988079,0.000988079,0.000988079
30,4466.84,1.01354,1.57794,1.31726,0.69866,0.6737,0.732,0.59785,0.5778,1.22988,0.85884,0.000987216,0.000987216,0.000987216
31,4616.69,0.99961,1.58671,1.30405,0.70489,0.67716,0.73583,0.60543,0.56704,1.18194,0.85465,0.000986323,0.000986323,0.000986323
32,4765.51,0.99205,1.53957,1.29979,0.7388,0.67882,0.7429,0.61137,0.56909,1.14405,0.85867,0.000985401,0.000985401,0.000985401
33,4915.08,0.99613,1.5427,1.30462,0.72585,0.67457,0.74203,0.60834,0.58011,1.04746,0.85824,0.000984449,0.000984449,0.000984449
34,5063.38,0.98809,1.51823,1.29866,0.73345,0.68211,0.74273,0.61333,0.55892,1.04864,0.8501,0.000983467,0.000983467,0.000983467
35,5212.1,0.98029,1.5249,1.2945,0.763,0.68307,0.75821,0.63782,0.53502,1.3912,0.84034,0.000982456,0.000982456,0.000982456
36,5361.73,0.9771,1.4979,1.28714,0.71821,0.69725,0.75793,0.63661,0.52903,0.94924,0.83517,0.000981415,0.000981415,0.000981415
37,5509.72,0.96773,1.48301,1.28345,0.72084,0.7062,0.76156,0.64378,0.51829,0.90335,0.83519,0.000980345,0.000980345,0.000980345
38,5657.93,0.96827,1.48194,1.28305,0.72225,0.71891,0.76959,0.65363,0.50627,0.78381,0.83351,0.000979246,0.000979246,0.000979246
39,5805.98,0.97593,1.47952,1.28801,0.74786,0.70507,0.77633,0.65417,0.52793,0.89593,0.82961,0.000978118,0.000978118,0.000978118
40,5955.33,0.95298,1.44891,1.27195,0.75717,0.70758,0.78091,0.66111,0.50977,0.87792,0.82279,0.00097696,0.00097696,0.00097696
41,6103.49,0.95684,1.44826,1.27774,0.7406,0.73027,0.78285,0.66414,0.5096,0.93587,0.82328,0.000975773,0.000975773,0.000975773
42,6252.01,0.94687,1.44085,1.26836,0.73464,0.72943,0.78217,0.66641,0.50052,1.03536,0.82536,0.000974557,0.000974557,0.000974557
43,6400.3,0.94742,1.40577,1.26737,0.77339,0.72203,0.79227,0.67242,0.5054,0.97474,0.82228,0.000973312,0.000973312,0.000973312
44,6548.52,0.93226,1.39361,1.25552,0.79504,0.70475,0.79016,0.67968,0.47325,0.92405,0.81634,0.000972039,0.000972039,0.000972039
45,6696.71,0.92942,1.39904,1.26007,0.78894,0.71955,0.79539,0.68059,0.48836,0.95867,0.81843,0.000970736,0.000970736,0.000970736
46,6844.7,0.93771,1.40815,1.2584,0.77206,0.73025,0.80002,0.68622,0.47727,0.96932,0.81067,0.000969405,0.000969405,0.000969405
