epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0918,1.50007,3.06779,1.59154,0.21649,0.25993,0.16613,0.08173,1.50324,2.79975,1.41989,0.000332875,0.000332875,0.0670453
2,172.46,1.5095,2.7715,1.58008,0.57894,0.20467,0.15888,0.07719,1.42531,6.75382,1.35343,0.000666199,0.000666199,0.0340453
3,257.412,1.46989,2.67283,1.54859,0.34094,0.33487,0.26363,0.12372,1.50529,9.77184,1.37658,0.000999481,0.000999481,0.00104527
4,341.597,1.42417,2.52867,1.50681,0.4089,0.34684,0.3081,0.19502,1.06774,2.78857,1.14982,0.000999863,0.000999863,0.000999863
5,425.615,1.35817,2.43388,1.46915,0.427,0.37828,0.31982,0.2036,1.08683,2.67271,1.1219,0.000999756,0.000999756,0.000999756
6,509.859,1.32818,2.30351,1.4347,0.37937,0.41601,0.36242,0.22747,1.10066,2.86795,1.11668,0.000999618,0.000999618,0.000999618
7,593.736,1.31804,2.23284,1.42395,0.39024,0.49447,0.42799,0.28898,0.9378,2.77801,1.05873,0.00099945,0.00099945,0.00099945
8,678.152,1.28459,2.18006,1.40168,0.54189,0.48656,0.46506,0.29292,1.07842,2.8455,1.07539,0.000999252,0.000999252,0.000999252
9,762.941,1.26689,2.12949,1.38688,0.58763,0.45906,0.46324,0.31816,0.946,6.82472,1.04063,0.000999023,0.000999023,0.000999023
10,846.882,1.24287,2.07019,1.37702,0.51833,0.52741,0.51174,0.35713,0.88086,1.59615,1.00095,0.000998764,0.000998764,0.000998764
11,930.828,1.23756,2.05125,1.37311,0.47113,0.55562,0.52466,0.36473,0.91149,2.36345,1.01894,0.000998474,0.000998474,0.000998474
12,1014.92,1.23318,2.01098,1.37196,0.58839,0.49261,0.52662,0.38873,0.79639,2.6405,0.97886,0.000998154,0.000998154,0.000998154
13,1099.26,1.22342,1.9708,1.36004,0.51479,0.54042,0.53951,0.3707,0.93114,2.48249,1.01099,0.000997803,0.000997803,0.000997803
14,1183.46,1.21282,1.94556,1.35611,0.58696,0.57086,0.59247,0.43068,0.81136,1.84872,0.96632,0.000997422,0.000997422,0.000997422
15,1267.66,1.20001,1.90517,1.34886,0.68538,0.51042,0.58486,0.40373,0.93559,1.78276,1.01224,0.000997011,0.000997011,0.000997011
16,1351.39,1.18369,1.8793,1.33443,0.606,0.58365,0.61494,0.46432,0.77191,1.43171,0.95509,0.000996569,0.000996569,0.000996569
17,1435.88,1.18537,1.84812,1.33272,0.62894,0.57346,0.62237,0.46146,0.77589,3.17648,0.95318,0.000996097,0.000996097,0.000996097
18,1520.08,1.16443,1.80826,1.32097,0.60637,0.60331,0.63339,0.47284,0.7729,1.75374,0.93637,0.000995594,0.000995594,0.000995594
19,1604.21,1.16372,1.80328,1.32156,0.60352,0.60793,0.62279,0.4743,0.73918,1.30655,0.93501,0.000995062,0.000995062,0.000995062
20,1687.94,1.16815,1.78847,1.32204,0.65735,0.6005,0.65691,0.5121,0.70349,1.20597,0.91779,0.000994499,0.000994499,0.000994499
